Name,CC0h_1,CC0h_2,CC0h_3,CC4h_1,CC4h_2,CC4h_3,CC12h_1,CC12h_2,CC12h_3,MGC0h_1,MGC0h_2,MGC0h_3,MGC4h_1,MGC4h_2,MGC4h_3,MGC12h_1,MGC12h_2,MGC12h_3
4933401J01Rik,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Gm26206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xkr4,51,44,48,76,24,137,18,26,26,21,28,21,33,37,26,21,12,21
Gm37180,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gm37363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Gm37686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gm1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37329,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Gm38148,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
Gm19938,0,4,1,0,3,0,2,0,2,0,1,0,2,0,0,0,1,1
Gm10568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38385,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Gm27396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37381,3,17,36,58,12,111,14,13,18,7,9,13,4,3,9,4,10,16
Rp1,22,33,28,36,27,52,10,9,9,21,8,23,14,11,8,6,11,8
Gm37483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sox17,0,4,0,14,2,0,18,16,6,10,18,50,20,4,28,2,8,12
Gm37587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm22307,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Gm37323,0,0,0,1,0,0,0,1,0,2,0,2,4,0,0,0,2,2
Gm25493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Mrpl15,1869,2134,1713,1507,1219,1035,1175,1075,1223,1420,936,1034,740,739,833,975,1064,1104
Gm37144,65,110,84,35,25,56,26,14,45,60,51,39,42,30,40,35,33,41
Lypla1,1287,1457,1181,1247,1008,1092,1411,1387,1711,1975,1472,1484,762,797,795,1265,1314,1282
Gm37988,78,165,128,201,180,253,76,63,88,86,58,80,75,94,105,73,67,95
Tcea1,3985,5214,5020,6988,5605,6428,3704,3752,4090,4955,3647,3936,3473,4386,3941,4031,4365,4474
Gm37277,0,0,2,0,2,0,0,0,0,2,0,2,0,0,4,2,0,0
Rgs20,12,14,8,24,16,13,6,19,15,12,5,10,17,9,18,9,17,11
Gm37079,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gm16041,0,0,0,0,0,1,0,0,0,2,0,0,1,1,1,0,1,0
Atp6v1h,1018,1405,1301,1660,1341,1766,2210,2209,2375,1711,1398,1432,1294,1788,1602,2661,3024,2914
Gm37567,1,0,1,0,2,7,0,1,0,8,0,5,1,0,5,0,0,1
Gm38264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oprk1,5,1,6,0,4,0,0,0,1,14,10,16,4,0,1,6,1,0
Gm22463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37429,1,1,2,0,1,0,0,0,0,0,0,1,0,2,0,0,0,1
Npbwr1,1,1,0,1,2,0,0,0,0,4,0,2,1,2,4,0,0,1
Rb1cc1,1811,2285,2205,2420,1912,2535,3542,3641,3753,3503,2536,2830,2306,2535,2482,3251,3611,3641
4732440D04Rik,48,96,73,53,18,92,101,112,97,185,145,122,92,83,137,118,93,141
Alkal1,0,2,2,2,2,2,0,1,0,0,2,5,0,6,2,0,4,2
St18,14,53,44,46,29,98,6,8,13,11,19,25,9,19,10,8,6,7
Gm42492,0,1,1,1,0,0,1,1,1,0,0,0,1,2,1,2,1,1
Pcmtd1,1129,1414,1377,1073,748,661,1685,1794,1946,2432,1903,1976,1551,1260,1669,1851,2304,2164
Gm38372,34,62,56,29,24,35,48,39,26,140,135,107,149,103,94,61,52,84
