Name,CC4h_1,CC4h_2,CC4h_3,GC4h_1,GC4h_2,GC4h_3
4933401J01Rik,0,0,0,1,0,0
Gm26206,0,0,0,0,0,0
Xkr4,76,24,137,33,37,26
Gm37180,0,0,0,0,0,0
Gm37363,0,0,0,0,0,0
Gm37686,0,0,0,0,0,0
Gm1992,0,0,0,0,0,0
Gm37329,0,0,0,0,0,0
Gm38148,0,1,0,0,0,0
Gm19938,0,3,0,2,0,0
Gm10568,0,0,0,0,0,0
Gm38385,0,0,0,0,0,0
Gm27396,0,0,0,0,0,0
Gm37381,58,12,111,4,3,9
Rp1,36,27,52,14,11,8
Gm37483,0,0,0,0,0,0
Sox17,14,2,0,20,4,28
Gm37587,0,0,0,0,0,0
Gm22307,0,0,0,0,0,0
Gm37323,1,0,0,4,0,0
Gm25493,0,0,0,0,0,2
Mrpl15,1507,1219,1035,740,739,833
Gm37144,35,25,56,42,30,40
Lypla1,1247,1008,1092,762,797,795
Gm37988,201,180,253,75,94,105
Tcea1,6988,5605,6428,3473,4386,3941
Gm37277,0,2,0,0,0,4
Rgs20,24,16,13,17,9,18
Gm37079,0,0,0,0,0,0
Gm16041,0,0,1,1,1,1
Atp6v1h,1660,1341,1766,1294,1788,1602
Gm37567,0,2,7,1,0,5
Gm38264,0,0,0,0,0,0
Oprk1,0,4,0,4,0,1
Gm22463,0,0,0,0,0,0
Gm37429,0,1,0,0,2,0
Npbwr1,1,2,0,1,2,4
Rb1cc1,2420,1912,2535,2306,2535,2482
4732440D04Rik,53,18,92,92,83,137
Alkal1,2,2,2,0,6,2
St18,46,29,98,9,19,10
Gm42492,1,0,0,1,2,1
Pcmtd1,1073,748,661,1551,1260,1669
Gm38372,29,24,35,149,103,94
Gm23274,0,0,0,0,0,0
Gm26901,144,98,81,130,56,106
Gm30414,1,2,1,6,0,1
Sntg1,18502,14413,9688,24754,31170,24647
Gm38024,1,1,0,0,0,0
Gm38259,2,0,0,0,1,1
Gm23358,0,0,0,0,0,0
Gm37005,0,0,0,0,0,0
Gm24276,1,1,0,0,0,0
Gm37629,26,2,10,6,2,0
Gm37143,2,0,0,0,0,0
Gm24765,0,0,0,0,0,0
Rrs1,4939,4367,2941,1698,2118,2062
Adhfe1,71,59,174,94,82,90
2610203C22Rik,14,20,38,3,8,7
Vxn,0,0,0,0,0,0
Gm29520,0,0,0,0,0,0
Mybl1,430,436,586,382,398,330
Vcpip1,2633,1806,2981,1824,2031,1846
1700034P13Rik,76,53,59,23,19,21
Sgk3,206,236,188,273,258,343
Gm22607,0,0,0,0,0,0
Mcmdc2,35,21,18,46,24,51
Snhg6,2029,1607,1643,1126,1265,1262
Snord87,0,1,0,0,0,0
Tcf24,171,149,122,227,223,180
E330040D14Rik,1,0,0,0,4,4
Ppp1r42,3,2,11,2,0,1
Gm15818,0,0,0,0,0,0
Gm24674,0,0,0,0,0,0
